conjunction_id,creation_date,tca,miss_distance,relative_speed,relative_position_r,relative_position_t,relative_position_n,relative_velocity_r,relative_velocity_t,relative_velocity_n,rel_pos_mag,rel_vel_mag,miss_distance_log,relative_speed_log,rel_pos_mag_log,rel_vel_mag_log,collision_probability,collision_max_probability,cluster,dbscan_label,iso_anomaly,object1_object_designator,object2_object_designator,object1_object_type,object2_object_type,object1_maneuverable,object2_maneuverable,anomaly_flag
10581237,28:57.2,25:02.1,110.1404738,4648.032606,24.11496754,101.7480335,-34.59378545,1.464623407,-1424.705392,-4424.298759,110.14047381563695,4648.032606168393,4.710794930934284,8.444414435217292,4.71079493107498,8.444414435253512,1.882e-05,0.001449019,0,0,,52294,52684,PAYLOAD,PAYLOAD,,,False
10825465,06:50.1,32:30.1,262.391189,0.417903002,-151.6134007,210.453028,-39.64890668,-0.36259088,0.165242572,-0.125958983,262.39118900433164,0.4179030022131259,5.573640337724625,0.34917902097473447,5.573640337741072,0.34917902112504506,6.34068e-05,0.002333044,1,1,,36605,31698,PAYLOAD,PAYLOAD,,,False
10893535,28:01.3,54:16.8,47.76204778,15023.86967,20.62919318,0.059669757,43.07721018,47.20402975,-14940.77364,-1577.249094,47.76204778513538,15023.869670849363,3.88695230086001,9.617462085156136,3.886952300965325,9.617462085212667,0.001527815,0.00366265,0,0,,20564,16882,DEBRIS,ROCKET BODY,NO,NO,False
10601912,42:14.5,04:20.1,393.8076987,6968.350551,-0.899822489,348.2431892,183.8759774,-2.647422046,-3202.063668,6189.078336,393.80769871792,6968.350550303395,5.978398807622492,8.849277321651416,5.978398807667881,8.849277321551464,1.36528e-05,0.001318083,0,0,,52479,51807,PAYLOAD,PAYLOAD,,,False
10464798,28:41.1,57:05.2,447.4798241,4674.366801,17.98195212,-424.9542261,139.0278679,1.944031145,-1440.861172,-4446.753905,447.4798240536837,4674.366800740721,6.105863695202702,8.450062898751906,6.105863695099428,8.45006289869645,1.22754e-05,0.001054003,0,0,,52990,53169,PAYLOAD,PAYLOAD,,,False
10776592,40:13.1,36:14.8,232.2227897,13411.38872,5.780262418,112.4250395,203.1123411,52.34919081,-11858.72113,6263.652294,232.222789681203,13411.388717691334,5.451994175687742,9.503934090166418,5.451994175607146,9.503934089994289,1.99434e-05,0.001721277,0,0,,58200,52611,ROCKET BODY,PAYLOAD,NO,,False
10320150,26:27.0,07:30.2,207.1503857,11099.67576,9.773824424,-137.6819639,154.4649846,39.86958334,-8157.2648,-7527.299872,207.15038569771076,11099.675759408738,5.3382608266299,9.314761264726636,5.338260826618901,9.314761264673374,0.000160304,0.005597841,0,0,,52788,33500,PAYLOAD,ROCKET BODY,,NO,False
10861683,25:31.4,46:28.0,165.06773,14606.55886,-4.273404585,-37.58645769,160.6746766,23.23757433,-14066.7768,-3934.057991,165.06773000481908,14606.558862457301,5.112395717190455,9.589294403857407,5.112395717219473,9.589294404025628,4.10551e-05,0.00353634,0,0,,49262,47888,PAYLOAD,PAYLOAD,,,False
10813080,45:10.0,54:42.9,226.7074627,13747.13495,-30.67468834,98.85741128,201.6991556,-13.39248592,-12441.67049,5847.08264,226.7074626903407,13747.134950214368,5.428061746797012,9.528658453894781,5.428061746754593,9.528658453910372,4.1057e-05,0.001988513,0,0,,54054,55109,PAYLOAD,PAYLOAD,,,False
10825482,19:36.4,16:38.0,340.5124501,0.511947109,-149.9950136,303.8444615,-33.59713932,-0.468326883,0.16327723,-0.126887032,340.51245008013535,0.511947108661371,5.833384135447326,0.41339829632539227,5.833384135389159,0.4133982961014235,5.07634e-05,0.003542249,1,1,,36605,31698,PAYLOAD,PAYLOAD,,,False
10825484,02:13.9,51:49.3,379.6392692,0.551278464,-153.2072859,345.5626773,-35.21275804,-0.510136944,0.166737656,-0.125963475,379.6392692074568,0.551278463751405,5.941852126628467,0.4390794064416657,5.941852126648056,0.439079406281414,4.79442e-05,0.004002167,1,1,,36605,31698,PAYLOAD,PAYLOAD,,,False
10471618,26:45.7,06:17.6,411.4081244,6944.961666,-0.506322786,-366.1292786,-187.6319263,-2.444057623,-3180.679205,6173.796754,411.408124346091,6944.961665714076,6.022013452239737,8.845915714429015,6.022013452109019,8.845915714387852,1.58441e-05,0.001519188,0,0,,53179,53568,PAYLOAD,PAYLOAD,,,False
10716498,04:54.3,47:50.2,282.5453669,4647.18237,2.471455251,269.4679355,-84.92825186,5.125576631,-1421.478356,-4424.440867,282.54536683103737,4647.18236931713,5.647372134703902,8.444231533992664,5.647372134460687,8.444231533845752,5.57925e-05,0.005010464,0,0,,52098,54765,PAYLOAD,PAYLOAD,,,False
10399567,11:19.8,56:47.6,429.7563527,9324.734046,-20.17482401,-341.5471962,-260.0557862,-12.50399459,-5722.330638,7362.434431,429.75635270699127,9324.734046140324,6.065542623296967,9.140532959483616,6.065542623313197,9.140532959498664,1.28812e-05,0.001086316,0,0,,53014,53290,PAYLOAD,PAYLOAD,,,False
